Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
EPAM,"EPAM Systems, Inc.",315.46,$17.66B,2012,Technology,EDP Services,https://old.nasdaq.com/symbol/epam,
EPR,EPR Properties,40.48,$3.02B,1997,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/epr,
EQT,EQT Corporation,15.97,$4.4B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/eqt,
EFX,"Equifax, Inc.",165.8,$20.17B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/efx,
EQNR,Equinor ASA,16.57,$53.79B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/eqnr,
EQH,"Equitable Holdings, Inc.",26.52,$11.79B,2018,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/eqh,
ETRN,Equitrans Midstream Corporation,8.58,$3.71B,2018,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/etrn,
EQC,Equity Commonwealth,26.32,$3.2B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/eqc,
ELS,"Equity Lifestyle Properties, Inc.",59.67,$10.87B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/els,
EQR,Equity Residential,61.28,$22.81B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/eqr,
ESE,ESCO Technologies Inc.,103.04,$2.68B,n/a,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/ese,
ESNT,Essent Group Ltd.,46.26,$5.2B,2013,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/esnt,
EPRT,"Essential Properties Realty Trust, Inc.",21.33,$2.23B,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/eprt,
WTRG,"Essential Utilities, Inc.",45.65,$11.2B,n/a,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/wtrg,
ESS,"Essex Property Trust, Inc.",257.53,$16.79B,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ess,
EL,"Estee Lauder Companies, Inc. (The)",245.81,$88.89B,1995,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/el,
EURN,Euronav NV,8.52,$1.74B,2015,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/eurn,
EB,"Eventbrite, Inc.",16.99,$1.56B,2018,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/eb,
EVR,Evercore Inc.,93.4,$3.8B,2006,Finance,Investment Managers,https://old.nasdaq.com/symbol/evr,
RE,"Everest Re Group, Ltd.",241.54,$9.65B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/re,
EVRG,"Evergy, Inc.",55.8,$12.66B,2018,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/evrg,
ES,Eversource Energy,87.47,$29.99B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/es,
EVTC,"Evertec, Inc.",38.4,$2.76B,2013,Technology,EDP Services,https://old.nasdaq.com/symbol/evtc,
EVH,"Evolent Health, Inc",14.77,$1.27B,2015,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/evh,
AQUA,Evoqua Water Technologies Corp.,27.03,$3.17B,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aqua,
EXR,Extra Space Storage Inc,110,$14.22B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/exr,
XOM,Exxon Mobil Corporation,41.98,$177.5B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/xom,
FNB,F.N.B. Corporation,9.53,$3.07B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/fnb,
FN,Fabrinet,69.99,$2.59B,2010,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/fn,
FDS,FactSet Research Systems Inc.,319.88,$12.15B,1996,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/fds,
FICO,Fair Isaac Corporation,480.02,$13.97B,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/fico,
FTCH,Farfetch Limited,52.5,$17.84B,2018,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ftch,
FST,FAST Acquisition Corp.,9.8,$1.17B,2020,Finance,Business Services,https://old.nasdaq.com/symbol/fst,
FSLY,"Fastly, Inc.",81.25,$9.22B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/fsly,
FBK,FB Financial Corporation,34.41,$1.62B,2016,Finance,Major Banks,https://old.nasdaq.com/symbol/fbk,
FFG,"FBL Financial Group, Inc.",53.34,$1.3B,1996,Finance,Life Insurance,https://old.nasdaq.com/symbol/ffg,
FRT,Federal Realty Investment Trust,93.61,$7.08B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/frt,
FSS,Federal Signal Corporation,32.57,$1.97B,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/fss,
FHI,"Federated Hermes, Inc.",28.66,$2.85B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/fhi,
FDX,FedEx Corporation,291.68,$76.59B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/fdx,
RACE,Ferrari N.V.,210.3,$52.17B,2015,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/race,
FOE,Ferro Corporation,14.7,$1.21B,n/a,Basic Industries,Paints/Coatings,https://old.nasdaq.com/symbol/foe,
FCAU,Fiat Chrysler Automobiles N.V.,15.66,$31.7B,2014,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/fcau,
FNF,"Fidelity National Financial, Inc.",37.06,$10.88B,2014,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/fnf,
FIS,"Fidelity National Information Services, Inc.",148.92,$92.41B,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/fis,
FAF,First American Corporation (The),50.42,$5.63B,n/a,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/faf,
FBP,First BanCorp.,8.62,$1.88B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/fbp,
FCF,First Commonwealth Financial Corporation,10.6,$1.02B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/fcf,
FHN,First Horizon National Corporation,13.07,$7.25B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/fhn,
FR,"First Industrial Realty Trust, Inc.",42.38,$5.47B,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/fr,
AG,First Majestic Silver Corp.,10.03,$2.22B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ag,
FRC,FIRST REPUBLIC BANK,134.62,$23.18B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/frc,
FPF,First Trust Intermediate Duration Preferred & Income Fund,22.51,$1.37B,2013,n/a,n/a,https://old.nasdaq.com/symbol/fpf,
FE,FirstEnergy Corp.,26.66,$14.47B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/fe,
FSR,Fisker Inc.,15.97,$4.43B,2018,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/fsr,
FIT,"Fitbit, Inc.",7.17,$1.95B,2015,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/fit,
FVRR,Fiverr International Ltd.,194.74,$6.84B,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/fvrr,
FBC,"Flagstar Bancorp, Inc.",36.06,$1.9B,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fbc,
FFC,Flaherty & Crumrine Preferred and Income Securitie,22.48,$1B,2003,n/a,n/a,https://old.nasdaq.com/symbol/ffc,
FLT,"FleetCor Technologies, Inc.",267.06,$22.27B,2010,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/flt,
FND,"Floor & Decor Holdings, Inc.",83.19,$8.65B,2017,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/fnd,
FLO,"Flowers Foods, Inc.",22.55,$4.77B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/flo,
FLS,Flowserve Corporation,36.12,$4.71B,n/a,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/fls,
FLR,Fluor Corporation,17.8,$2.5B,n/a,Basic Industries,Military/Government/Technical,https://old.nasdaq.com/symbol/flr,
FEAC,Flying Eagle Acquisition Corp.,12.99,$1.12B,2020,Technology,EDP Services,https://old.nasdaq.com/symbol/feac,
FMC,FMC Corporation,118.24,$15.34B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/fmc,
WPF,Foley Trasimene Acquisition Corp.,10.19,$1.32B,2020,Finance,Business Services,https://old.nasdaq.com/symbol/wpf,
FMX,Fomento Economico Mexicano S.A.B. de C.V.,77.12,$27.6B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/fmx,
FL,"Foot Locker, Inc.",38.93,$4.06B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/fl,
F,Ford Motor Company,9.45,$37.6B,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/f,
FTS,Fortis Inc.,40.69,$18.92B,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/fts,
FTV,Fortive Corporation,73,$24.62B,2016,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/ftv,
FTAI,Fortress Transportation and Infrastructure Investors LLC,21.37,$1.83B,2015,n/a,n/a,https://old.nasdaq.com/symbol/ftai,
FSM,Fortuna Silver Mines Inc.,6.07,$1.12B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/fsm,
FBHS,"Fortune Brands Home & Security, Inc.",84.68,$11.76B,n/a,Basic Industries,Homebuilding,https://old.nasdaq.com/symbol/fbhs,
FCPT,"Four Corners Property Trust, Inc.",29,$2.13B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/fcpt,
FNV,Franco-Nevada Corporation,125.84,$24.01B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/fnv,
BEN,"Franklin Resources, Inc.",22.37,$11.08B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ben,
FCX,"Freeport-McMoran, Inc.",23.11,$33.58B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/fcx,
FMS,Fresenius Medical Care Corporation,41.96,$24.57B,n/a,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/fms,
FDP,"Fresh Del Monte Produce, Inc.",25.63,$1.21B,1997,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/fdp,
FRO,Frontline Ltd.,7.4,$1.46B,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/fro,
FSK,FS KKR Capital Corp.,17.55,$2.17B,2014,n/a,n/a,https://old.nasdaq.com/symbol/fsk,
FSKR,FS KKR Capital Corp. II,16.76,$2.85B,2020,n/a,n/a,https://old.nasdaq.com/symbol/fskr,
FCN,"FTI Consulting, Inc.",104.22,$3.72B,n/a,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/fcn,
FUBO,fuboTV Inc.,24.85,$1.68B,2020,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/fubo,
GAB,"Gabelli Equity Trust, Inc. (The)",6.13,$1.59B,1986,n/a,n/a,https://old.nasdaq.com/symbol/gab,
GPS,"Gap, Inc. (The)",26.87,$10.04B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/gps,
IT,"Gartner, Inc.",154.68,$13.81B,1993,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/it,
GTES,Gates Industrial Corporation plc,13.4,$3.9B,2018,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/gtes,
GATX,GATX Corporation,83.49,$2.92B,n/a,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/gatx,
GCP,GCP Applied Technologies Inc.,24.63,$1.8B,2016,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/gcp,
